"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Rank","Parent_name","Parent_NCBI_ID","Parent_rank","Confidence_in_curation"
243629,NA,NA,"Hydrocarboniphaga effusa","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Hydrocarboniphaga",243627,"genus","Low"
29449,NA,NA,"Rhizobium etli","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Rhizobium",379,"genus","Low"
110321,NA,NA,"Sinorhizobium medicae","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Sinorhizobium",28105,"genus","Low"
184917,NA,NA,"Desulfovibrio magneticus","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Solidesulfovibrio",2910984,"genus","Low"
2096,NA,NA,"Mycoplasma gallisepticum","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Mycoplasma",2093,"genus","Low"
183,NA,NA,"Leptonema illini","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Leptonema",32205,"genus","Low"
574560,NA,NA,"Photorhabdus temperata","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Photorhabdus",29487,"genus","Low"
29488,NA,NA,"Photorhabdus luminescens","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Photorhabdus",29487,"genus","Low"
272240,NA,NA,"Pseudoclavibacter faecalis","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Gulosibacter",256818,"genus","Low"
29494,NA,NA,"Vibrio furnissii","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Vibrio",662,"genus","Low"
291968,NA,NA,"Acaricomes phytoseiuli","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Acaricomes",291967,"genus","Low"
332055,NA,NA,"Sphingobium indicum","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Sphingobium",165695,"genus","Low"
67780,NA,NA,"Edwardsiella ictaluri","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Edwardsiella",635,"genus","Low"
116598,NA,NA,"Wolbachia endosymbiont of DiaphoriUsually citri","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Wolbachia",953,"genus","Low"
263437,NA,NA,"Wolbachia endosymbiont of Culex quinquefasciatus","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Wolbachia",953,"genus","Low"
163164,NA,NA,"Wolbachia endosymbiont of Drosophila melanogaster","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Wolbachia",953,"genus","Low"
1270,NA,NA,"Micrococcus luteus","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Micrococcus",1269,"genus","Low"
57676,NA,NA,"Rhizobium mongolense","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Rhizobium",379,"genus","Low"
328813,NA,NA,"Alistipes onderdonkii","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Alistipes",239759,"genus","Low"
33035,NA,NA,"Blautia producta","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Blautia",572511,"genus","Low"
40520,NA,NA,"Ruminococcus obeum","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Blautia",572511,"genus","Low"
844,NA,NA,"Wolinella succinogenes","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Wolinella",843,"genus","Low"
498055,NA,NA,"ArenimoUsuallys oryziterrae","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Arenimonas",490567,"genus","Low"
1596,NA,NA,"Lactobacillus gasseri","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Lactobacillus",1578,"genus","Low"
147802,NA,NA,"Lactobacillus iners","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Lactobacillus",1578,"genus","Low"
1588,NA,NA,"Lactobacillus hilgardii","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Lentilactobacillus",2767893,"genus","Low"
1614,NA,NA,"Lactobacillus fructivorans","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Fructilactobacillus",2767881,"genus","Low"
129052,NA,NA,"Catelliglobosispora koreensis","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Catelliglobosispora",1121253,"genus","Low"
41,NA,NA,"Stigmatella aurantiaca","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Stigmatella",40,"genus","Low"
1406,NA,NA,"Paenibacillus polymyxa","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Paenibacillus",44249,"genus","Low"
1836,NA,NA,"Saccharopolyspora erythraea","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Saccharopolyspora",1835,"genus","Low"
1901,NA,NA,"Streptomyces clavuligerus","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Streptomyces",1883,"genus","Low"
1902,NA,NA,"Streptomyces coelicolor","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Streptomyces",1883,"genus","Low"
1332080,NA,NA,"Sphingobium baderi","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Sphingobium",165695,"genus","Low"
71995,NA,NA,"Paenibacillus vortex","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Paenibacillus",44249,"genus","Low"
130049,NA,NA,"Paenibacillus dendritiformis","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Paenibacillus",44249,"genus","Low"
483937,NA,NA,"Paenibacillus riograndensis","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Paenibacillus",44249,"genus","Low"
34,NA,NA,"Myxococcus xanthus","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Myxococcus",32,"genus","Low"
80816,NA,NA,"Haliangium ochraceum","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Haliangium",162027,"genus","Low"
1911,NA,NA,"Streptomyces griseus","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Streptomyces",1883,"genus","Low"
40990,NA,NA,"Saccharomonospora glauca","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Saccharomonospora",1851,"genus","Low"
60894,NA,NA,"Saccharopolyspora spinosa","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Saccharopolyspora",1835,"genus","Low"
75294,NA,NA,"Saccharomonospora xinjiangensis","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Saccharomonospora",1851,"genus","Low"
159743,NA,NA,"Paenibacillus terrae","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Paenibacillus",44249,"genus","Low"
169176,NA,NA,"Novosphingobium tardaugens","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Caenibius",2827482,"genus","Low"
379896,NA,NA,"Paenibacillus fonticola","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Paenibacillus",44249,"genus","Low"
69223,NA,NA,"Dickeya paradisiaca","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Musicola",2884243,"genus","Low"
204038,NA,NA,"Dickeya dadantii","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Dickeya",204037,"genus","Low"
204042,NA,NA,"Dickeya zeae","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Dickeya",204037,"genus","Low"
1089444,NA,NA,"Dickeya solani","cogem pathogenicity rating",1,"The Microbe Directory",NA,"usually","species","Dickeya",204037,"genus","Low"
