"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Note","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
1053648,NA,NA,"Candidatus Tremblaya princeps PCVAL","coding genes",116,"Kegg","igc","usually","high",NA,"strain","Candidatus Tremblaya princeps",189385,"species"
891398,NA,NA,"Candidatus Tremblaya princeps PCIT","coding genes",121,"Kegg","igc","usually","high",NA,"strain","Candidatus Tremblaya princeps",189385,"species"
573658,NA,NA,"Candidatus Hodgkinia cicadicola TETUND1","coding genes",121,"Kegg","igc","usually","high",NA,"species","Candidatus Hodgkinia",573657,"genus"
1343077,NA,NA,"Candidatus Nasuia deltocephalinicola","coding genes",137,"Kegg","igc","usually","high",NA,"strain","Candidatus Nasuia deltocephalinicola",1160784,"species"
573658,NA,NA,"Candidatus Hodgkinia cicadicola TETUND2","coding genes",140,"Kegg","igc","usually","high",NA,"species","Candidatus Hodgkinia",573657,"genus"
573234,NA,NA,"Candidatus Hodgkinia cicadicola Dsem","coding genes",169,"Kegg","igc","usually","high",NA,"strain","Candidatus Hodgkinia cicadicola",573658,"species"
573658,NA,NA,"Candidatus Hodgkinia cicadicola TETULN","coding genes",170,"Kegg","igc","usually","high",NA,"species","Candidatus Hodgkinia",573657,"genus"
1266371,NA,NA,"Candidatus Tremblaya phenacola","coding genes",175,"Kegg","igc","usually","high",NA,"strain","Candidatus Tremblaya phenacola",1010676,"species"
1202539,NA,NA,"Candidatus Carsonella ruddii HT (Heteropsylla texana)","coding genes",180,"Kegg","igc","usually","high",NA,"isolate","Candidatus Carsonella ruddii",114186,"species"
387662,NA,NA,"Candidatus Carsonella ruddii PV (Pachypsylla venusta)","coding genes",182,"Kegg","igc","usually","high",NA,"strain","Candidatus Carsonella ruddii",114186,"species"
1202540,NA,NA,"Candidatus Carsonella ruddii PC (Pachypsylla celtidis)","coding genes",182,"Kegg","igc","usually","high",NA,"isolate","Candidatus Carsonella ruddii",114186,"species"
336810,NA,NA,"Candidatus Sulcia muelleri ML","coding genes",187,"Kegg","igc","usually","high",NA,"species","Candidatus Sulcia",336809,"genus"
1343076,NA,NA,"Candidatus Sulcia muelleri Sulcia-ALF","coding genes",188,"Kegg","igc","usually","high",NA,"strain","Candidatus Sulcia muelleri",336810,"species"
1202536,NA,NA,"Candidatus Carsonella ruddii CE (Ctenarytaina eucalypti)","coding genes",190,"Kegg","igc","usually","high",NA,"isolate","Candidatus Carsonella ruddii",114186,"species"
1202537,NA,NA,"Candidatus Carsonella ruddii CS (Ctenarytaina spatulata)","coding genes",190,"Kegg","igc","usually","high",NA,"isolate","Candidatus Carsonella ruddii",114186,"species"
1202538,NA,NA,"Candidatus Carsonella ruddii HC (Heteropsylla cubana)","coding genes",192,"Kegg","igc","usually","high",NA,"isolate","Candidatus Carsonella ruddii",114186,"species"
871271,NA,NA,"Candidatus Zinderia insecticola","coding genes",206,"Kegg","igc","usually","high",NA,"strain","Candidatus Zinderia insecticola",884215,"species"
667013,NA,NA,"Candidatus Carsonella ruddii DC (Diaphorina citri)","coding genes",207,"Kegg","igc","usually","high",NA,"strain","Candidatus Carsonella ruddii",114186,"species"
641892,NA,NA,"Candidatus Sulcia muelleri DMIN","coding genes",226,"Kegg","igc","usually","high",NA,"strain","Candidatus Sulcia muelleri",336810,"species"
444179,NA,NA,"Candidatus Sulcia muelleri GWSS","coding genes",227,"Kegg","igc","usually","high",NA,"strain","Candidatus Sulcia muelleri",336810,"species"
