"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Note","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
632,NA,NA,"Yersinia pestis","mutation rate per site per year",0.07,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Yersinia",629,"genus"
9,NA,NA,"Buchnera aphidicola","mutation rate per site per year",0.09,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Buchnera",32199,"genus"
1769,NA,NA,"Mycobacterium leprae","mutation rate per site per year",0.09,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Mycobacterium",1763,"genus"
632,NA,NA,"Yersinia pestis","mutation rate per site per year",0.16,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Yersinia",629,"genus"
632,NA,NA,"Yersinia pestis","mutation rate per site per year",0.2,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Yersinia",629,"genus"
632,NA,NA,"Yersinia pestis","mutation rate per site per year",0.23,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Yersinia",629,"genus"
1765,NA,NA,"Mycobacterium bovis","mutation rate per site per year",0.34,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","biotype","Mycobacterium tuberculosis",1773,"species"
1773,NA,NA,"Mycobacterium tuberculosis","mutation rate per site per year",0.49,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Mycobacterium",1763,"genus"
487,NA,NA,"Neisseria meningitidis","mutation rate per site per year",0.61,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Neisseria",482,"genus"
1809,NA,NA,"Mycobacterium ulcerans","mutation rate per site per year",0.63,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Mycobacterium",1763,"genus"
28901,NA,NA,"Salmonella enterica","mutation rate per site per year",0.93,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Salmonella",590,"genus"
36809,NA,NA,"Mycobacterium abscessus","mutation rate per site per year",0.95,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Mycobacteroides",670516,"genus"
1773,NA,NA,"Mycobacterium tuberculosis","mutation rate per site per year",1,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Mycobacterium",1763,"genus"
9,NA,NA,"Buchnera aphidicola","mutation rate per site per year",1.1,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Buchnera",32199,"genus"
1773,NA,NA,"Mycobacterium tuberculosis","mutation rate per site per year",1.14,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Mycobacterium",1763,"genus"
446,NA,NA,"Legionella pneumophila","mutation rate per site per year",1.39,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Legionella",445,"genus"
562,NA,NA,"Escherichia coli","mutation rate per site per year",1.44,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Escherichia",561,"genus"
1496,NA,NA,"Clostridium difficile","mutation rate per site per year",1.7,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Clostridioides",1870884,"genus"
