"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Rank","Parent_name","Parent_NCBI_ID","Parent_rank","Confidence_in_curation"
2867376,"unknown","unknown","Desulfoscipio","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Desulfallaceae",2867375,"family","High"
2759766,"unknown","unknown","Longispora","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Phaeosphaeriaceae",5020,"family","High"
2282743,"unknown","unknown","Desulfohalotomaculum","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Peptococcaceae",186807,"family","High"
2282742,"unknown","unknown","Desulfofarcimen","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Peptococcaceae",186807,"family","High"
2282740,"unknown","unknown","Desulfallas","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Desulfallaceae",2867375,"family","High"
2211639,"unknown","unknown","Pseudaestuariivita","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Rhodobacteraceae",31989,"family","High"
2211637,"unknown","unknown","Flavimaricola","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Rhodobacteraceae",31989,"family","High"
2211635,"unknown","unknown","Cognatishimia","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Rhodobacteraceae",31989,"family","High"
2048911,"unknown","unknown","Brevitalea","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Pyrinomonadaceae",2048906,"family","High"
2048907,"unknown","unknown","Arenimicrobium","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Pyrinomonadaceae",2048906,"family","High"
2040476,"unknown","unknown","Rhabdanaerobium","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Eubacteriaceae",186806,"family","High"
2039236,"unknown","unknown","Saliphagus","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Natrialbaceae",1644061,"family","High"
2036001,"unknown","unknown","Salinirussus","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Halobacteriaceae",2236,"family","High"
2026179,"unknown","unknown","Desulfocucumis","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Peptococcaceae",186807,"family","High"
2008781,"unknown","unknown","Annwoodia","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Thiobacillaceae",2008790,"family","High"
2004797,"unknown","unknown","Luteitalea","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Vicinamibacteraceae",2211325,"family","High"
1943561,"unknown","unknown","Marinicrinis","gram stain variable",TRUE,"Bergey's Manual","exp","always","genus","Paenibacillaceae",186822,"family","High"
1940395,"unknown","unknown","Caenibacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Sporolactobacillaceae",186821,"family","High"
1930795,"unknown","unknown","Croceifilum","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Thermoactinomycetaceae",186824,"family","High"
1921569,"unknown","unknown","Micropepsis","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Micropepsaceae",1921568,"family","High"
1918598,"unknown","unknown","Turicimonas","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Sutterellaceae",995019,"family","High"
1918542,"unknown","unknown","Muricomes","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Lachnospiraceae",186803,"family","High"
1918540,"unknown","unknown","Muribaculum","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Muribaculaceae",2005473,"family","High"
1918536,"unknown","unknown","Longicatena","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Erysipelotrichaceae",128827,"family","High"
1918454,"unknown","unknown","Flintibacter","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Eubacteriales",186802,"order","High"
1918452,"unknown","unknown","Extibacter","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Lachnospiraceae",186803,"family","High"
1918450,"unknown","unknown","Cuneatibacter","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Lachnospiraceae",186803,"family","High"
1918385,"unknown","unknown","Acutalibacter","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Oscillospiraceae",216572,"family","High"
1914252,"unknown","unknown","Thermodesulfitimonas","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Thermoanaerobacteraceae",186814,"family","High"
1911573,"unknown","unknown","Haloprofundus","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Haloferacaceae",1644056,"family","High"
1905344,"unknown","unknown","Ruthenibacterium","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Oscillospiraceae",216572,"family","High"
1897649,"unknown","unknown","Pistricoccus","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Halomonadaceae",28256,"family","High"
1890291,"unknown","unknown","Falcatimonas","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Clostridiaceae",31979,"family","High"
1890224,"unknown","unknown","Polygonibacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Bacillaceae",186817,"family","High"
1884449,"unknown","unknown","Salipaludibacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Bacillaceae",186817,"family","High"
1855714,"unknown","unknown","Anaerobium","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Lachnospiraceae",186803,"family","High"
1855405,"unknown","unknown","Longibacter","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Salisaetaceae",2893042,"family","High"
1853226,"unknown","unknown","Salinivenus","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Salinibacteraceae",1853225,"family","High"
1849551,"unknown","unknown","Cephaloticoccus","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Opitutaceae",134623,"family","High"
1847386,"unknown","unknown","Vicinamibacter","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Vicinamibacteraceae",2211325,"family","High"
1843210,"unknown","unknown","Anaerocolumna","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Lachnospiraceae",186803,"family","High"
1843206,"unknown","unknown","Anaerotaenia","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Lachnospiraceae",186803,"family","High"
1843185,"unknown","unknown","Halostella","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Halobacteriaceae",2236,"family","High"
1830421,"unknown","unknown","Halovarius","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Natrialbaceae",1644061,"family","High"
1824856,"unknown","unknown","Oceanivirga","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Leptotrichiaceae",1129771,"family","High"
1817571,"unknown","unknown","Fermentibacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Bacillaceae",186817,"family","High"
1794910,"unknown","unknown","Anaerosporomusa","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Sporomusaceae",1843490,"family","High"
1792239,"unknown","unknown","Caviibacter","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Leptotrichiaceae",1129771,"family","High"
1779002,"unknown","unknown","Halocalculus","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Halobacteriaceae",2236,"family","High"
1775697,"unknown","unknown","Melghiribacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Bacillaceae",186817,"family","High"
1775468,"unknown","unknown","Silvibacterium","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Acidobacteriaceae",204434,"family","High"
1775121,"unknown","unknown","Larsenimonas","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Halomonadaceae",28256,"family","High"
1769738,"unknown","unknown","Compostibacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Bacillaceae",186817,"family","High"
1768185,"unknown","unknown","Terracidiphilus","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Acidobacteriaceae",204434,"family","High"
1763552,"unknown","unknown","Baia","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Thermoactinomycetaceae",186824,"family","High"
1763447,"unknown","unknown","Halosiccatus","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Haloarculaceae",1963268,"family","High"
1748767,"unknown","unknown","Stenotrophobacter","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Blastocatellaceae",1748772,"family","High"
1748764,"unknown","unknown","Tellurimicrobium","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Blastocatellaceae",1748772,"family","High"
1742983,"unknown","unknown","Occallatibacter","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Acidobacteriaceae",204434,"family","High"
1738642,"unknown","unknown","Pelagirhabdus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Bacillaceae",186817,"family","High"
1654934,"unknown","unknown","Desulfoprunum","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Desulfobulbaceae",213121,"family","High"
1649504,"unknown","unknown","Texcoconibacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Bacillaceae",186817,"family","High"
1649503,"unknown","unknown","Terrimicrobium","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Terrimicrobiaceae",2762316,"family","High"
1649496,"unknown","unknown","Sinibacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Bacillaceae",186817,"family","High"
1649478,"unknown","unknown","Pelolinea","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Anaerolineaceae",292628,"family","High"
1649475,"unknown","unknown","Paludibaculum","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Bryobacteraceae",1962910,"family","High"
1649472,"unknown","unknown","Natranaerobaculum","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Natranaerobiaceae",485255,"family","High"
1649471,"unknown","unknown","Mobilitalea","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Lachnospiraceae",186803,"family","High"
1649469,"unknown","unknown","Methyloparacoccus","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Methylococcaceae",403,"family","High"
1649459,"unknown","unknown","Hungatella","gram stain variable",TRUE,"Bergey's Manual","exp","always","genus","Clostridiaceae",31979,"family","High"
1649457,"unknown","unknown","Homoserinibacter","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Microbacteriaceae",85023,"family","High"
1649454,"unknown","unknown","Glaciihabitans","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Microbacteriaceae",85023,"family","High"
1649452,"unknown","unknown","Geothermomicrobium","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Thermoactinomycetaceae",186824,"family","High"
1649284,"unknown","unknown","Ercella","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Oscillospiraceae",216572,"family","High"
1649279,"unknown","unknown","Epibacterium","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Roseobacteraceae",2854170,"family","High"
1649264,"unknown","unknown","Desulfoconvexum","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Desulfobacteraceae",213119,"family","High"
1648520,"unknown","unknown","Conyzicola","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Microbacteriaceae",85023,"family","High"
1648503,"unknown","unknown","Canibacter","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Microbacteriaceae",85023,"family","High"
1648500,"unknown","unknown","Brockia","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Thermoanaerobacteraceae",186814,"family","High"
1647190,"unknown","unknown","Aquibacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Bacillaceae",186817,"family","High"
1644062,"unknown","unknown","Salinirubrum","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Halobacteriaceae",2236,"family","High"
1644057,"unknown","unknown","Salinigranum","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Halorubraceae",1963271,"family","High"
1637257,"unknown","unknown","Mageeibacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Oscillospiraceae",216572,"family","High"
1634037,"unknown","unknown","Desulfoplanes","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Desulfomicrobiaceae",213116,"family","High"
1632778,"unknown","unknown","Diaminobutyricibacter","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Microbacteriaceae",85023,"family","High"
1562565,"unknown","unknown","Pyrinomonas","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Pyrinomonadaceae",2048906,"family","High"
1562564,"unknown","unknown","Aridibacter","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Blastocatellaceae",1748772,"family","High"
1549126,"unknown","unknown","Desulfatiglans","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Desulfobacteraceae",213119,"family","High"
1542963,"unknown","unknown","Halapricum","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Haloarculaceae",1963268,"family","High"
1538466,"unknown","unknown","Rhizocola","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Micromonosporaceae",28056,"family","High"
1502725,"unknown","unknown","Effusibacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Alicyclobacillaceae",186823,"family","High"
1500514,"unknown","unknown","Thermolongibacillus","gram stain positive",TRUE,"Bergey's Manual","exp","always","genus","Bacillaceae",186817,"family","High"
1495649,"unknown","unknown","Thermoflexus","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Thermoflexaceae",1495648,"family","High"
1494958,"unknown","unknown","Pseudogracilibacillus","gram stain variable",TRUE,"Bergey's Manual","exp","always","genus","Bacillaceae",186817,"family","High"
1486720,"unknown","unknown","Methylomarinovum","gram stain negative",TRUE,"Bergey's Manual","exp","always","genus","Methylothermaceae",1486721,"family","High"
